Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2012,156,1,0,"H4","1201",8,58382620493,58382620493,34976644185,0
2012,156,1,32,"H4","1201",8,5896225801,5896225801,3685112780,0
2012,156,1,76,"H4","1201",8,23891336539,23891336539,14260026885,0
2012,156,1,124,"H4","1201",8,630236688,630236688,401958481,0
2012,156,1,152,"H4","1201",8,60,60,743,0
2012,156,1,156,"H4","1201",8,104850,104850,27261,0
2012,156,1,643,"H4","1201",8,91603252,91603252,35833490,0
2012,156,1,842,"H4","1201",8,25969205350,25969205350,15381233227,0
2012,156,1,858,"H4","1201",8,1903907953,1903907953,1212451318,0
2013,156,1,0,"H4","1201",8,63377877207,63377877207,38009435191,0
2013,156,1,32,"H4","1201",8,6123962838,6123962838,3657714550,0
2013,156,1,76,"H4","1201",8,31809059103,31809059103,19143655721,0
2013,156,1,124,"H4","1201",8,838920863,838920863,498134972,0
2013,156,1,152,"H4","1201",8,206,206,3070,0
2013,156,1,156,"H4","1201",8,44280,44280,40959,0
2013,156,1,392,"H4","1201",8,160,160,1471,0
2013,156,1,643,"H4","1201",8,68083961,68083961,26321012,0
2013,156,1,804,"H4","1201",8,130536,130536,78322,0
2013,156,1,842,"H4","1201",8,22237798882,22237798882,13291859258,0
2013,156,1,858,"H4","1201",8,2299876378,2299876378,1391625856,0
2014,156,1,0,"H4","1201",8,71403050873,71403050873,40261719672,0
2014,156,1,32,"H4","1201",8,6003815476,6003815476,3362129617,0
2014,156,1,50,"H4","1201",8,180000,180000,120420,0
2014,156,1,56,"H4","1201",8,3,3,111,0
2014,156,1,76,"H4","1201",8,32005475392,32005475392,18724138584,0
2014,156,1,124,"H4","1201",8,862690495,862690495,457763615,0
2014,156,1,152,"H4","1201",8,175,175,2500,0
2014,156,1,643,"H4","1201",8,59324920,59324920,21665800,0
2014,156,1,842,"H4","1201",8,30029330696,30029330696,16328693944,0
2014,156,1,858,"H4","1201",8,2442233716,2442233716,1367205081,0
2015,156,1,0,"H4","1201",8,81689723565,81689723565,34790412630,0
2015,156,1,32,"H4","1201",8,9436592758,9436592758,3915652178,0
2015,156,1,76,"H4","1201",8,40076738256,40076738256,16887094925,0
2015,156,1,124,"H4","1201",8,1071074292,1071074292,455181095,0
2015,156,1,152,"H4","1201",8,152,152,1626,0
2015,156,1,643,"H4","1201",8,373464625,373464625,140957055,0
2015,156,1,804,"H4","1201",8,1060750,1060750,475086,0
2015,156,1,842,"H4","1201",8,28413083612,28413083612,12409525160,0
2015,156,1,858,"H4","1201",8,2317709120,2317709120,981525505,0
2016,156,1,0,"H4","1201",8,83913290242,83913290242,33981149479,0
2016,156,1,32,"H4","1201",8,8013855990,8013855990,3230710791,0
2016,156,1,76,"H4","1201",8,38205273184,38205273184,15551795453,0
2016,156,1,124,"H4","1201",8,1455923998,1455923998,601483508,0
2016,156,1,152,"H4","1201",8,120,120,1186,0
2016,156,1,231,"H4","1201",8,220000,220000,95686,0
2016,156,1,490,"H4","1201",8,1,1,3,0
2016,156,1,643,"H4","1201",8,401370839,401370839,139776561,0
2016,156,1,804,"H4","1201",8,3538592,3538592,1454078,0
2016,156,1,842,"H4","1201",8,34171596186,34171596186,13763759046,0
2016,156,1,858,"H4","1201",8,1661420312,1661420312,691960059,0
2016,156,1,899,"H4","1201",8,91020,91020,113108,0
2007,156,1,0,"H3","1201",8,30816561549,30816561549,11473092949,0
2007,156,1,32,"H3","1201",8,8277466112,8277466112,3180897174,0
2007,156,1,76,"H3","1201",8,10582105088,10582105088,3894200189,0
2007,156,1,124,"H3","1201",8,18914426,18914426,6753622,0
2007,156,1,152,"H3","1201",8,65,65,1050,0
2007,156,1,381,"H3","1201",8,7,7,9,0
2007,156,1,490,"H3","1201",8,71,71,183,0
2007,156,1,643,"H3","1201",8,1214020,1214020,326704,0
2007,156,1,792,"H3","1201",8,4,4,49,0
2007,156,1,842,"H3","1201",8,11567887836,11567887836,4235632905,0
2007,156,1,858,"H3","1201",8,368973920,368973920,155281064,0
2008,156,1,0,"H3","1201",8,37436262040,37436262040,21815275493,6
2008,156,1,32,"H3","1201",8,9848095744,9848095744,5791306437,0
2008,156,1,36,"H3","1201",8,2600,2600,3641,0
2008,156,1,76,"H3","1201",8,11653127168,11653127168,7281719975,0
2008,156,1,124,"H3","1201",8,15486270,15486270,6205831,0
2008,156,1,152,"H3","1201",8,103,103,1686,0
2008,156,1,392,"H3","1201",8,153,153,104,0
2008,156,1,643,"H3","1201",8,5282954,5282954,1844875,0
2008,156,1,842,"H3","1201",8,15432233192,15432233192,8442334933,6
